listing_id,host_id,superhost,response_time,response_rate,number_of_reviews,review_scores_rating,host_about,host_verifications
1878642,9782866,f,within a few hours,100%,8,98,Accountant and Garden Designer,"['email', 'phone', 'reviews']"
4787527,9767363,f,within a few hours,100%,81,97,"I am a person that loves to see the world, people and culture. I live and work in New York as part of a fabrication and design team for some of the most amazing designers in the world.I am a very friendly, respectable,neat, clean and easy going guy. Hope to meet you on one of my travels!","['email', 'phone', 'reviews', 'kba']"
13377206,9752596,f,N/A,N/A,1,100,"Current graduate student, indie film lover and a Brooklyn transplant! ","['email', 'phone', 'reviews', 'kba']"
1869965,9746370,f,N/A,N/A,0,,"  I live in a fantastic neighborhood on the Upper West Side, steps away from the subway, great restaurants, Columbia University, Riverside Park and Central Park.I am an award-winning playwright, theater director and producer.  I am currently producing a musical on Broadway.  I am also a university professional where I teach playwriting, Shakespeare and how to produce theater.In 2001, my Off Broadway theater (The Tribeca Playhouse) was the closest theater to the World Trade Center.  After the devastating attack on 9/11 I presented a 12 week series of free performances to the Rescue and Recovery workers at Ground Zero that featured stars from Broadway, television and film - called The Tribeca Playhouse Stage Door Canteen.  It was featured on the Today Show, Good Morning America, CNN, Fox, ABC World News Tonight and every major network around the world.I live 3 blocks away. I have lived in New York for 30 years and can be very helpful in giving advice on what to do and how to get around.I am an avid athlete.  When I'm not at my computer writing my latest play, you can find me at the tennis courts where I play almost every day.","['email', 'phone', 'jumio']"
14866856,9744119,f,within an hour,100%,28,93,"I was raised in New York and currently travel for work. While I'm away I host on Airbnb. My passion is being a professional hairstylist, and take great pride in my craft.  I love the unique people I meet along the way, the stories I hear, and the relationships I have built.  I am truly lucky to be doing what I love and having so much fun in the process.  NYC is such an amazing city, but living here truly gives you a unique experience.  I enjoy so much of what this great city has to offer, from reading a book in beautiful Central Park, to bike riding along the East Side River which is such a breath taking view. My favorite time of year however is December and seeing the tree lighting in Rockefeller Center.  I have been going there since I was 8 years old, and every year the tree looks as big as ever.  I usually fall down at least once a year at the ice rink too! I aim to give you the true NYC experience by hosting you in my apartment, and I am always more than happy to make recommendations or answer any questions you might have.Hope to see you soon!","['email', 'reviews']"
199312,973438,t,within an hour,100%,175,97,I have been told to be a great host for dinner parties. This is the first time to host travellers. So I am waiting for your feedback! :),"['email', 'phone', 'facebook', 'reviews', 'jumio']"
1864061,9720494,f,within a day,100%,23,100,"As I travel quite frequently (and often to two other rental properties I own in East Hampton, NY and Puerto Vallarta, Mexico), I've recently listed my newly-renovated home in Manhattan for rent as well.   I am a self-employed consultant now in business for 20 years and bring that same kind of conscientious care to each of my rental properties.   ","['email', 'phone', 'reviews', 'jumio']"
199195,971075,f,within an hour,100%,39,96,"Hi!  I'm an entertainment lawyer from NYC specializing in the areas of television, film, and music.","['email', 'phone', 'reviews', 'kba']"
1861493,9710466,t,within a day,100%,33,100,"I've lived in New York for 15 years and believe that NYC is the best city in the world!  The restaurants, theatre and unique opportunities that the city offers are amazing, and most of all I appreciate the intelligent and interesting people that the city attracts.  I love to travel all over the world and especially love France, Italy, Tanzania and Turks & Caicos.  When I travel I primarily like to explore the best restaurants, from multiple Michelin starred landmarks to hole-in-the-wall treasures, and I have a curated list of favorites in NYC that I'd be happy to share with you. I love to ski and snorkel and watch Alabama football, and I travel a lot for all three.  Whether I'm at home or traveling, I want to stay in beautiful, comfortable accommodations, and I hope that you will find my home to be just that.  ","['email', 'phone', 'reviews', 'kba']"
198629,969709,f,within an hour,100%,7,93,International traveler,"['email', 'phone', 'reviews', 'kba']"
286641,969259,f,N/A,N/A,25,97,"Aloha, I'm Wes...I'm currently hovering around the SoCal area via New York City, DC, and Florida where I grew up outdoors...I enjoy surfing, running, camping, bike packing, listening to/making music and renting out my NYC apartment and DC house while posting up on others boats, yurts, tree forts and such.  I like finding new beers en route and wines are growing on me.I cut off the cable TV a few years back and rather enjoy the smell of fresh air these days.  I've run a bunch of relay races, a marathon, pitched a bunch of tents, and pedaled & paddled a gaggle of miles.  I've got friends scattered abound, and family in Florida and Chicago.On the flip side, I love technology and construction.  I run a tech company from the road and am currently maximizing my cloud flexibility while contemplating a work related case study on camp commuting and a cycling tour of the Mississippi River Trail.","['email', 'phone', 'facebook', 'reviews', 'jumio']"
198478,968805,t,within an hour,100%,25,96,"Hello, my name is Lennay, and I'm a retail industry professional in NYC and MBA student at Baruch College. I love reading, traveling and dinners out. Always looking forward to finding a cheap flight & planning my next trip!","['email', 'phone', 'reviews', 'kba']"
15035565,9671470,f,within a few hours,100%,4,95,"I am a pretty easy going guy.  I have lived in Harlem for 10 years.  I love the energy and diversity.  Want-to-be creative.  A little bit of a health nut.  Seeker of truth.  I love meeting new people.  I have a two year old daughter whom I love more than I thought possible.  Still trying to figure life out, but enjoying the journey. ","['email', 'phone', 'reviews']"
1851926,9671392,f,within an hour,100%,75,91,"Born and raised in brownstone Brooklyn, I am happy to share my family brownstone with guests.  I've had the opportunity to travel all over the world performing and teaching, yet I've always come back to Bed Stuy. I'm happy knowing that I am creating a temporary home away from home for fellow travelers. Welcome!","['email', 'phone', 'facebook', 'reviews', 'kba']"
15774425,9666584,f,within a day,50%,7,97,"I am a Brooklyn based artist specializing in textiles and graphics. I am a dog-loving, mother of two pit bulls who I am mildly (aka wildly) obsessed with! I enjoy the coziness of my Brooklyn neighborhood and all the endless adventure that is NYC. ","['email', 'phone', 'facebook', 'reviews', 'kba', 'work_email']"
2723515,9652075,f,within an hour,100%,38,92,"I am a record producer and musician, new father and studio owner.","['email', 'phone', 'reviews', 'jumio']"
16335138,9649443,f,within a few hours,100%,0,,"I own a restaurant in Buenos Aires, and I am also a painter, so food and art are my passions. I love travelling and meeting people.","['email', 'phone', 'jumio', 'offline_government_id', 'government_id']"
450578,9647066,f,within a day,100%,26,93,"I am Mature Work Women, ( with a Young Mind ) Very quiet, Friendly, Happy, very easygoing and Polite Person. I am originally from Brazil. I have living in Japan for 13 years, and move to NYC, 20 years ago. I speek Portuguese ,English ,  Spanish , Japanese , a Little bit of Italian.I love to meet and interact  with people from all around the world ... That's why I am sharing my home...I will do my best to insure that my guest always feel like home...I work every day from 8:00am to 5:00 pm.When I am home, I am always in my room whit my Little Dog and my little cat...I am clean person and would like to my guests will be the same...I am a smoker, however I don't smoke in the others rooms, but my own room.With have 3 big windows facing the street, also ceiling fan. And always close my door... Since the apartment is quite big, the others rooms won't feel the smell...All the rooms have large windows facing the Street.My guest always can count on me for any question, information or help.I am always open for it...And I will be more than happy to do so . ","['email', 'phone', 'reviews', 'jumio']"
7734226,9639313,t,within an hour,100%,16,98,"I've lived in NYC almost 26 yrs. I Love the city, the people are outgoing & the foods are tasty. There is nothing better than eating a hot dog in Coney Island or walking the streets of time square while sipping an ice coffee. ","['email', 'phone', 'reviews', 'jumio']"
2370610,9623313,f,N/A,N/A,6,93,"Hi. I've been living in New York City since 2008, and the past 4 years in our loft. I love living here - it's full of light and very peaceful. The neighborhood is very friendly and walking distance to everything you need from great restaurants, grocery shopping, cinemas, banks, post office, gyms, yoga studios and more. It's also only one subway stop from downtown Manhattan and it has every subway stop right outside the door which can get you to Upper West, Upper East, Soho, Chelsea, West Village, East Village, Lower East Side and anywhere in Manhattan in 10 - 20 minutes. I'm originally from Australia and love to travel. If you have any questions about NYC (restaurants, cafes, shopping, museums, galleries, book stores, traveling around) or my neighborhood I'd be happy to answer them!","['email', 'phone', 'reviews']"
20724,961342,f,within a day,75%,16,89,French filmmaker based in NY since 6 years,"['email', 'phone', 'reviews', 'jumio']"
280393,961316,f,a few days or more,0%,11,93,I live in NYC (Chelsea) and work in Advertising.  ,"['email', 'phone', 'reviews', 'kba']"
1046615,961066,t,within an hour,100%,41,96,"I am a mature, calm and considerate individual and I like to surround myself with like minded people.  I am originally from Toronto. ","['email', 'phone', 'reviews', 'jumio']"
3914400,960861,f,a few days or more,33%,11,98,"Hello!  I love music, film, actually all art, bicycles, motorcycles, photography, clothes, words, food and beverages, and good design.Oh, and I find people really really interesting, as well. ","['email', 'phone', 'facebook', 'reviews', 'kba']"
18637631,9598256,f,within a few hours,80%,0,,"Hi, my name is Raphaël, i'm a Director Jr, Graphic Designer and musician from Paris.I really love having people around me, and i love to travel. Living in a hotel when you're abroad is a shame when you can enjoy an appartement with people from the city, and discover so much more this way !Don't hesitate to send me messages if you have questions, i'll be happy to answer it.See you soon.Raphael","['email', 'phone', 'reviews', 'jumio']"
2559090,957967,f,within an hour,100%,64,92,Internet entrepreneur.,"['email', 'phone', 'facebook', 'reviews', 'kba']"
5242156,956379,f,within a few hours,100%,22,96,"We are a family from Brooklyn, NY with 2 boys.  Interests include travel, music (violin), art, food, architecture, and design.","['email', 'phone', 'reviews', 'jumio']"
7967022,9554201,f,within a day,100%,10,96,Canadian Traveler. New York & London Marketer. Global Story Seeker. ,"['email', 'phone', 'facebook', 'reviews']"
3677995,9553177,f,within a day,50%,11,86,"I'm from California, I like to go to the beach.","['email', 'phone', 'facebook', 'reviews', 'jumio']"
2008227,9539641,f,within an hour,100%,94,92,"I am an educator and an artist (screenwriter).  I love all of the wonderful cultural activities that New York offers.  My travels have taken me to Asia, Europe, and the Caribbean.  There is so much of the world I want to see.","['email', 'phone', 'reviews', 'kba']"
1818420,9522524,f,within a few hours,99%,47,98,"I am a musician from Quebec living with my beautiful wife in Brooklyn, New York. My wife is from Panama and works in fashion.We are a peaceful harmonious couple with a lot of space and no children.We enjoy going out to shows, visiting friends and relaxing with a nice cocktail.Our friends are colorful, international and hilarious.  If you decide to stay with us you will find that we are generous people, helpful and accommodating. My wife loves to cook and make cocktails so she would probably invite you to dinner or offer you a drink. As we are honest and considerate people we expect the same from others.  Therefore, we hope that if you decide to stay with us you will respect the space, maintain it clean and be considerate.Thank you for showing an interest in our posting and we hope to hear from you soon","['email', 'phone', 'reviews']"
1818411,9522475,f,within an hour,100%,53,94,From NYCWent to School out WestLove making my guests feel at home,"['email', 'phone', 'reviews']"
12821248,951223,f,within a day,88%,12,93,Furniture Designer + Builder based in NYC with a love for interesting objects and places. Seeking out and pursuing the unknown. ,"['email', 'phone', 'facebook', 'reviews', 'kba']"
1815647,9510060,f,N/A,N/A,0,,"I am an Architect and I was born in Brooklyn, New York. I grew up in Staten Island and I live with my wife Wakana and our three children. We enjoy meeting new people and sharing our experiences with them.","['email', 'phone', 'reviews', 'jumio', 'government_id']"
1914787,9509269,f,within a few hours,100%,59,92,"Carlos is an inventor and multi-talented artist with a background in illustration and design who enjoys meditation, playing the piano and studying the physical sciences and the arts.Betty is also a painter/illustrator with a great talent for cooking, knitting and decoration.","['email', 'phone', 'reviews', 'kba']"
2793740,9509125,f,N/A,N/A,0,,"39-year old man, quiet, clean, orderly.","['email', 'phone']"
195233,949221,t,within an hour,100%,11,93,"I am a laid back neat freak.. if there is such a thing:) I live to travel and have subleased to travelers since 2007! Anyone that writes me will get a reply esp if they take the time to tell me about why they are travelling and has taken the time to write a profile as well!I couch surfed all over Europe for months, so I am pretty good at this type of thing! I look forward to hearing from you! I live in Brooklyn in a West Indian and Jewish historic neighborhood right off of Prospect park! Walking Distance to lots of stuff and I am always game to help out or join!.....it is so hard to talk about oneself, sorry i mean sell oneself in the personal forum.its easier to talk about ideas and i have plenty of those.i am honest almost to a fault........wait thats not interesting so i will start with my bad traits.....i am a perfectionist with a tendency to procrastinate and misspell everything.i dont like show offs or ppl that feel superior(because i obviously am the superior one...duh).crack kills but if your are really hot we can work out a compromise.I am the queen of contradictions and I dig it! LOVE pantera and wham!/ color purple and anchor man/ care too much about grammar but cant spell/ .laid back control freak/ I like dive bars but am grossed out by poor table manners/ hermit ppl person / messy neat freak / healthy unhealthy person, and so on:) I have been performing and working in the arts since I was 3 and I have always made my living doing so. Im pretty much open to all ideas but that doesnt mean that Im gonna try all ideas:) My name is Thalia, which was the muse of comedy in Greek mythology and my name fits:) I love physical activity. I was a professional dancer for 20 years and with out that level of activity I feel so outta shape so if you like to get out and about I am game. When ever I am in the park I want to ask everyone if I can get in on their game. Did MMA for about a year and miss it, but injuries make it hard. If you read this far, bless you cause this must be a mess to read cause I am doing a half assed rewrite! Gotta keep learning and evolving. Honesty and communication are tops to me. Dont fight dirty and always look for compromise! Just be cool and we can get along... ""and please be honest, this is for posterity"" ","['email', 'phone', 'facebook', 'reviews', 'jumio']"
4045248,9486902,f,a few days or more,48%,7,80, I'm a native New Yorker who never gives up on daily process of living the dream. ,"['email', 'phone', 'reviews']"
199492,948338,f,within a few hours,100%,12,90,"Artist, Dancer, MusicianI was born and raised in America but my family is from Korea.  ","['email', 'phone', 'facebook', 'reviews', 'sent_id']"
195089,948075,f,within a few hours,100%,122,87,"I am 37 and love traveling and have lived in China, Venezuela, and Canada, for a year or more. Happy to host people at my place. Welcome!","['email', 'phone', 'facebook', 'reviews', 'jumio']"
195027,947654,f,N/A,N/A,10,94,"I love to visit museums, cultural events, local yoga studios, buddhist temples, cafes, local live theatre and cook!   I have many amazing friends all over the world I have been blessed to cross paths with.   ","['email', 'phone', 'facebook', 'reviews', 'kba']"
1805138,9461670,f,N/A,N/A,14,93,"My name is Marion Piedra, I am originally from Costa Rica but have been calling New York my home for the past 6 years. I currently work at a product design company where I handle their communications department. Because of work I generally travel once a month for a week or so which works for me since I love to travel!!I enjoy cooking, traveling and meeting new people and cultures, I'm very easy going and open to everyone around me.  ","['email', 'phone', 'reviews']"
13026702,9455699,f,within a few hours,100%,4,100,"from Sydney, Australia and I work in email marketing at a start-up cooking app��so I am a huge foodie! My boyfriend and I live in this apartment and are here most of the time however we love to travel (for work and pleasure).","['email', 'phone', 'reviews', 'kba']"
1803165,9453400,f,within an hour,100%,28,89,"marketing biz owner, constantly traveling! ","['email', 'phone', 'reviews', 'jumio']"
17992568,9441612,f,within a few hours,100%,1,100,"I am Matthieu JD, I am from France but have been living in NY for the last 7 years after working in Asia for a little while. I love this city but at times the stress level is just too much. That is why I renovated my apartment to make it a quiet cocoon that offers me shelter from the craziness surrounding me :)","['phone', 'reviews', 'jumio']"
9369426,943095,f,N/A,N/A,1,100,I work for a website in Brooklyn. I am quiet and clean. In my free time I like to cook and ride my bike. ,"['email', 'phone', 'facebook', 'reviews', 'kba', 'work_email']"
11939910,9427555,f,within a day,50%,4,95,"I m a very passionate person that travels a lot and loves company. As New York has been my lifetime favorite destination, and now I live here, I would like my guests to incorporate their lodging as part of the unforgettable New York experience.I love to have guests over, even when I m not home!Therefore, I will always make sure you will find the basics for breakfast, the towels, fresh sheets, and a clean cozy studio to make your stay the most pleasant one!I love to wander in my neighborhood and can make suggestions for pretty much anything you would want to enjoy within the East Village/Lower East Side, and even more widely in the lower Manhattan.","['email', 'phone', 'reviews', 'jumio']"
6684355,942128,f,within a day,100%,3,90,"easy going, professional who enjoys the outdoors and traveling.","['email', 'phone', 'facebook', 'reviews', 'kba']"
1856261,9407818,f,within a few hours,100%,15,90,I am from NYC. ,"['email', 'phone', 'reviews', 'jumio']"
195123,940724,f,within an hour,100%,178,92,"A host of excellent dinner parties, compulsive book reader and film buff, community activist, sardonic sense of  humor. A good friend, neighbor,adult child, and pet owner. Likes things tidy but not anal. Lover of her city and enjoys sharing it with like minded people.","['email', 'phone', 'facebook', 'reviews', 'kba']"
5697517,93779,f,within a day,60%,14,96,"I enjoy travel for the adventure, culture, language, food, dance and conversation and have lived in the US, Barcelona, Costa Rica, and Switzerland!","['email', 'phone', 'reviews', 'jumio']"
3586203,9374485,f,within an hour,100%,4,95,"I have my own business as an emotional healer, teacher and doula.  I have a 10 year old daughter and we live together in our lovely apartment.  We look forward to hosting you!","['email', 'phone', 'reviews', 'kba']"
246938,936630,f,within an hour,100%,161,89,"I am a creative person and have always been fascinated by people, culture and travel. I work in photography and publishing; some of my favourite cities in the world are New York, Rio de Janeiro, Mexico, Paris and London.I like to socialize and want to be an acomodating host to a nice, proper guest when I travel out of the city. I expect the same courtesy from my guest.Since I am originally from scandanivia, the place you will be leaving in is very Scandanivian in aesthetics, but right in the middle of the youthful energy of the Lower East Side. ","['email', 'phone', 'facebook', 'reviews']"
9979707,936114,t,within a few hours,90%,8,100,"I have been a host and a guest of airbnb since 2011.  Through airbnb I have met wonderful people from around the globe.  Mainly, I work from home as a programmer/web developer, which takes most of my time.  Lately, I rescued a dog and decided to keep her, so now she has a home and lives here with me.  I enjoy good movies, reading about world history, learning new languages or practicing the ones I know, having dinner with friends and travelling.I enjoy hosting and hope to meet my guests expectations and standards.  I am respectful of others privacy as I would like others  to be of mine.   I am a social person but I also like my quiet moments.    ","['email', 'phone', 'facebook', 'reviews', 'kba']"
9712126,9339714,f,within an hour,100%,35,94,I'm a business professional who lives in NYC,"['email', 'phone', 'reviews', 'kba']"
2290645,9296024,f,within an hour,100%,151,95,I have enjoyed working with AirBnB its such a safe sensible way to travel. ,"['email', 'phone', 'reviews', 'kba']"
1780748,9293512,f,within a day,70%,28,90,"Hailing from England. I've been in New York for several years and know the city very well. I have pr/journalism background.  If you have any questions, please do not hesitate to ask and I will put you on the right path!I love old Hollywood Films, particularly Hitchcock's. Like many people after post 2008 I'm having to re-engineer rebrand myself and I'm very grateful to Airbnb and the lovely guests I've had. Some have become friends. ","['email', 'phone', 'kba']"
13896371,928984,f,within an hour,100%,2,100,"I am happy to call Brooklyn, NY home. When I'm away from home I enjoy trying new food, visiting with friends, reading, biking, and hiking. Occasionally I travel with my kids.","['email', 'phone', 'facebook', 'reviews', 'kba', 'work_email']"
2115530,9288406,f,N/A,N/A,6,93,A video producer and musician. I'm a Airbnb host in the lower east side and like to travel all over,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual', 'work_email']"
1767037,9284163,f,within an hour,100%,221,92,new york here that loves computers and I work in IT/Telecom,"['email', 'phone', 'reviews', 'jumio']"
1763209,9268156,f,within an hour,100%,84,93,"We are a professional couple who work hard; we are easygoing and friendly; and we always live life to the fullest. We love to travel and entertain.  We have friends all of the world, who always open their homes up to us; and we love having people stay with us, so we decided to open our home to people traveling to NYC.I am a designer; he is an actor. We love to dance (house music), we are foodies, we love the water and beach, and we love to connect people with other people.  He is the key to the city - if you want to know where the best spots are, chances are, he knows the owner or promoter of the spot.  I am from San Francisco (17 yrs in NYC), he is from New Orleans (24 yrs in NYC), and we love our NYC!  We have a wonderfully sweet dog, who goes to work with us everyday. We aren't home much, as we are always at the office.  We are complete night owls!!We hope you come to stay with us so we can share our beautiful city with you!    Welcome home to Casa de Besos!","['email', 'phone', 'reviews', 'jumio', 'work_email']"
8411390,9247072,f,within a few hours,100%,3,100,"Hi! I'm originally from Texas and have lived in New York for almost 10 years. I love it here, and I love the Upper West Side! It's so easy to feel at home in this neighborhood - it's a very easy, welcoming place, and super quick to get anywhere especially along the 1 subway line. I work in publishing, and I love yoga, running, reading, having long meals with friends. My sister also lives in NYC and has been an AirBNB host for a while -- she LOVES it, and I'm excited to try it out! ","['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']"
3457034,923901,f,within an hour,90%,44,82,"Hi! I moved to Brooklyn 5 years ago and I work in marketing for a technology and management consulting company. Things I can't live without: my dog Moby, road trips, mustard, live music, single malt scotch, exploring New York, good food, and great friends. I'm a writer, reader, baker, and I'm learning to surf.I'm excited to be hosting and look forward to meeting new people from all over the world!","['email', 'phone', 'facebook', 'reviews', 'kba', 'work_email']"
11140165,923791,f,within an hour,100%,3,100,I live in Brooklyn New York. I'm a community activist.,"['email', 'phone', 'facebook', 'reviews', 'kba']"
19017889,92342,f,within a day,70%,0,,"~ a free spirit with a wild heart ~ Brooklyn girl with a passion for travel. I love connecting with others while I'm out exploring the world, and traveling like a local wherever I visit. When I'm not out on a hunt for hidden swimming holes and fantastic eats, I run brand strategy for The New School - a liberal University in NYC. Happy to chat anytime :) (PHONE NUMBER HIDDEN)","['email', 'phone', 'reviews', 'jumio', 'work_email']"
1755484,9232106,f,within an hour,100%,6,90,live in nyc,"['email', 'phone', 'reviews', 'jumio', 'sent_id']"
13467391,923047,f,within a few hours,85%,15,93,I work as a personal trainer and artist. I do mostly free lancing and travel a lot. ,"['email', 'phone', 'facebook', 'reviews', 'jumio']"
15974364,92272,f,a few days or more,38%,0,,"I'm a 36 year old female, living with her best friend (my Boxer, Oxford) in the East Village. I've been a New Yorker for life (at heart), but technically for 8 years now. I'm a graduate student in Columbia's MFA Film Program in Creative Producing. I am currently finishing up my degree, producing independent films, writing, working a coffee shop gig, doing lots of yoga, and loving my life!I have a love affair with New York City and like to share that passion with my guests - tips, the ""best of"" advice, etc. Some of my other life pleasures are good coffee, sarcasm and dark humor, cooking, whiskey, the ocean/beach, late night city-walks with my dog, meditation and yoga, traveling, and staring at the moon.Some favorites: Paris and the south of France, the films ""Taxi Driver"" and Baz Luhrman's ""Romeo + Juliet,"" VEGGIES and good seafood, on the cuisine front, and MY DOG!!Around the apartment, I'm a pretty private, introspective and quiet person. I generally like to keep to myself and value the space as my place where I can be alone and away from having to interact with the world. Outside, in the ""world,"" I'm a mixed bag - a surefire extrovert, with introvert tendencies from time to time.My life motto, if you will...the thought I try to keep in mind to keep me centered: the past is done, the future does not exist, the only thing that is REAL, is now.","['email', 'phone', 'facebook', 'reviews', 'kba', 'work_email']"
5397568,9209691,t,within an hour,100%,58,96,Welcome to our world!We Love travelling to discover other countries and meet people from all around the world.,"['email', 'phone', 'reviews', 'jumio']"
18870016,920237,f,within an hour,100%,0,,"My name is Sara, a 28 year old Product Manager, love traveling and hosting and have been using airbnb both as a guest and host since 2012. ","['email', 'phone', 'reviews', 'kba', 'work_email']"
7246609,920222,f,within a day,70%,11,91,From Sydney but currently living and working in New York City,"['email', 'phone', 'reviews', 'kba']"
15342056,918668,f,N/A,N/A,0,,I'm an architect living in New York!,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'work_email']"
1743379,9177920,f,within an hour,100%,44,92,"Hello! My name is irie. I was born and raised in New York. I love traveling and have been lucky enough to travel and live in many different countries including Japan, Thailand, Indonesia, Czech Republic, Spain, France, England, Argentina, chile, brazil Mexico and Costa Rica. There are still so many places I would love to visit but I will always call New York home! I love eating out and also cooking at home and our apartment in Williamsburg is ideal for both of these choices. New York City offers an unparalleled variety and quality of dining and shopping. I hope you can enjoy your stay and if we can help in any way, please ask! ","['email', 'phone', 'facebook', 'reviews', 'jumio']"
1742654,9173924,f,within an hour,100%,78,100,"Born and raised in South Texas, I have resided in New York City for over 30 years. I was involved in the entertainment industry for over 25 years, and now own a white-glove cleaning service The Soleather Company. ","['email', 'phone', 'reviews', 'kba']"
